,year,codmpio,H_coca,coca,FARC1,FARC2
1,2002,5001,NA,NA,0,0
2,2002,5002,NA,NA,0,0
3,2002,5004,NA,NA,0,0
4,2002,5021,NA,NA,0,0
5,2002,5030,NA,NA,0,0
6,2002,5031,110,1,0,0
7,2002,5034,NA,NA,0,0
8,2002,5036,NA,NA,0,0
9,2002,5038,NA,NA,0,1
10,2002,5040,369,1,1,1
11,2002,5042,NA,NA,0,0
12,2002,5044,NA,NA,0,0
13,2002,5045,NA,NA,1,1
14,2002,5051,NA,NA,0,0
15,2002,5055,NA,NA,1,1
16,2002,5055,NA,NA,0,0
17,2002,5055,NA,NA,0,0
18,2002,5059,NA,NA,0,0
19,2002,5059,NA,NA,0,0
20,2002,5079,NA,NA,0,0
21,2002,5079,NA,NA,0,0
22,2002,5086,NA,NA,0,0
23,2002,5088,NA,NA,0,0
24,2002,5091,NA,NA,0,0
25,2002,5093,NA,NA,0,0
26,2002,5093,NA,NA,0,0
27,2002,5101,NA,NA,0,0
28,2002,5107,17,1,1,0
29,2002,5107,17,1,0,0
30,2002,5113,NA,NA,0,0
31,2002,5120,116,1,0,0
32,2002,5125,NA,NA,1,0
33,2002,5129,NA,NA,0,0
34,2002,5129,NA,NA,0,0
35,2002,5134,8,1,1,1
36,2002,5138,NA,NA,0,0
37,2002,5142,NA,NA,0,0
38,2002,5145,NA,NA,0,0
39,2002,5147,NA,NA,0,1
40,2002,5148,NA,NA,0,0
41,2002,5150,NA,NA,0,0
42,2002,5154,26,1,0,0
43,2002,5172,NA,NA,0,0
44,2002,5190,NA,NA,0,0
45,2002,5197,NA,NA,0,0
46,2002,5206,NA,NA,0,0
47,2002,5206,NA,NA,0,0
48,2002,5209,NA,NA,0,0
49,2002,5209,NA,NA,0,0
50,2002,5212,NA,NA,0,0
51,2002,5234,NA,NA,1,1
52,2002,5237,NA,NA,0,0
53,2002,5240,NA,NA,0,0
54,2002,5250,327,1,0,1
55,2002,5264,NA,NA,0,0
56,2002,5266,NA,NA,0,0
57,2002,5282,NA,NA,0,0
58,2002,5284,NA,NA,0,0
59,2002,5306,NA,NA,0,0
60,2002,5308,NA,NA,0,0
61,2002,5310,2,1,0,0
62,2002,5313,NA,NA,1,1
63,2002,5313,NA,NA,0,0
64,2002,5313,NA,NA,0,0
65,2002,5315,NA,NA,0,0
66,2002,5315,NA,NA,1,0
67,2002,5315,NA,NA,0,0
68,2002,5318,NA,NA,0,0
69,2002,5321,NA,NA,0,0
70,2002,5347,NA,NA,0,0
71,2002,5353,NA,NA,0,0
72,2002,5360,NA,NA,0,0
73,2002,5361,130,1,1,1
74,2002,5364,NA,NA,0,0
75,2002,5368,NA,NA,0,0
76,2002,5368,NA,NA,0,0
77,2002,5376,NA,NA,0,0
78,2002,5380,NA,NA,0,0
79,2002,5390,NA,NA,0,0
80,2002,5400,NA,NA,0,0
81,2002,5400,NA,NA,0,0
82,2002,5400,NA,NA,0,0
83,2002,5400,NA,NA,0,0
84,2002,5411,NA,NA,0,1
85,2002,5425,NA,NA,0,0
86,2002,5440,NA,NA,0,0
87,2002,5467,NA,NA,0,0
88,2002,5475,NA,NA,0,0
89,2002,5480,NA,NA,1,1
90,2002,5483,NA,NA,0,0
91,2002,5483,NA,NA,0,0
92,2002,5483,NA,NA,0,0
93,2002,5490,NA,NA,0,0
94,2002,5495,57,1,0,0
95,2002,5501,NA,NA,0,0
96,2002,5541,NA,NA,0,0
97,2002,5543,NA,NA,0,1
98,2002,5576,NA,NA,0,0
99,2002,5579,NA,NA,0,1
100,2002,5585,NA,NA,0,0
101,2002,5591,NA,NA,0,0
102,2002,5604,534,1,0,0
103,2002,5607,NA,NA,0,0
104,2002,5615,NA,NA,0,0
105,2002,5615,NA,NA,0,0
106,2002,5628,1,1,0,0
107,2002,5628,1,1,0,0
108,2002,5628,1,1,0,0
109,2002,5631,NA,NA,0,0
110,2002,5642,NA,NA,0,0
111,2002,5647,NA,NA,1,0
112,2002,5649,NA,NA,0,0
113,2002,5649,NA,NA,0,0
114,2002,5652,NA,NA,0,0
115,2002,5652,NA,NA,0,0
116,2002,5652,NA,NA,0,0
117,2002,5656,NA,NA,0,0
118,2002,5658,NA,NA,0,0
119,2002,5659,NA,NA,0,0
120,2002,5660,NA,NA,0,0
121,2002,5660,NA,NA,0,0
122,2002,5664,NA,NA,0,0
123,2002,5664,NA,NA,0,0
124,2002,5664,NA,NA,1,0
125,2002,5665,NA,NA,0,0
126,2002,5667,NA,NA,0,0
127,2002,5670,2,1,0,0
128,2002,5674,NA,NA,0,0
129,2002,5679,NA,NA,1,0
130,2002,5679,NA,NA,0,0
131,2002,5679,NA,NA,0,0
132,2002,5686,NA,NA,0,0
133,2002,5690,NA,NA,0,0
134,2002,5697,NA,NA,0,0
135,2002,5736,355,1,0,0
136,2002,5756,NA,NA,0,0
137,2002,5761,NA,NA,0,0
138,2002,5789,NA,NA,0,0
139,2002,5790,337,1,0,1
140,2002,5792,NA,NA,0,0
141,2002,5809,NA,NA,0,0
142,2002,5819,NA,NA,1,0
143,2002,5819,NA,NA,0,0
144,2002,5837,NA,NA,0,1
145,2002,5842,NA,NA,0,0
146,2002,5847,NA,NA,0,1
147,2002,5854,50,1,1,1
148,2002,5856,NA,NA,0,0
149,2002,5856,NA,NA,0,0
150,2002,5858,74,1,0,0
151,2002,5861,NA,NA,0,0
152,2002,5861,NA,NA,0,0
153,2002,5873,NA,NA,1,1
154,2002,5885,47,1,0,0
155,2002,5887,2,1,1,1
